"ANO";"TIPO_ABOVIROSE";"SUPERINTENDENCIA";"ADS";"MUNICÍPIO";"DATA_EPIDEMIOLOGICA";"SEMANA_EPIDEMIOLOGICA";"DENGUE_GRAVE";"CURA";"OBITO";"OBITO_INVESTIGACAO";"CONFIRMADO_AMBULATORIAL";"CONFIRMADO_CLINICO"
"2022";"Dengue";"FORTALEZA";"01ª REGIÃO FORTALEZA";"AQUIRAZ";"2022-07-30";"30";"0";"0";"0";"0";"0";"0"
"2022";"Dengue";"SOBRAL";"11ª REGIÃO SOBRAL";"URUOCA";"2022-08-20";"33";"0";"0";"0";"0";"0";"0"
"2022";"Dengue";"SOBRAL";"13ª REGIÃO TIANGUÁ";"UBAJARA";"2022-04-02";"13";"0";"0";"0";"0";"0";"0"
"2022";"Dengue";"SERTÃO CENTRAL";"08ª REGIÃO QUIXADÁ";"PEDRA BRANCA";"2022-03-05";"9";"0";"45";"0";"0";"0";"39"
"2022";"Dengue";"SOBRAL";"15ª REGIÃO CRATEÚS";"CRATEUS";"2022-08-13";"32";"0";"4";"0";"0";"1";"0"
"2022";"Dengue";"CARIRI";"17ª REGIÃO ICÓ";"OROS";"2022-08-20";"33";"0";"4";"0";"0";"0";"0"
"2022";"Dengue";"SOBRAL";"11ª REGIÃO SOBRAL";"IPU";"2022-04-23";"16";"0";"10";"0";"0";"7";"2"
"2022";"Dengue";"FORTALEZA";"22ª REGIÃO CASCAVEL";"PINDORETAMA";"2022-10-01";"39";"0";"0";"0";"0";"0";"0"
"2022";"Dengue";"FORTALEZA";"02ª REGIÃO CAUCAIA";"PARAIPABA";"2022-07-30";"30";"0";"1";"0";"0";"0";"0"
"2022";"Dengue";"CARIRI";"18ª REGIÃO IGUATU";"DEPUTADO IRAPUAN PINHEIRO";"2022-09-03";"35";"0";"0";"0";"0";"0";"0"
"2022";"Dengue";"FORTALEZA";"04ª REGIÃO BATURITÉ";"PACOTI";"2022-07-16";"28";"0";"0";"0";"0";"0";"0"
"2022";"Dengue";"SOBRAL";"12ª REGIÃO ACARAÚ";"JIJOCA DE JERICOACOARA";"2022-07-02";"26";"0";"23";"0";"0";"0";"1"
"2022";"Dengue";"SOBRAL";"11ª REGIÃO SOBRAL";"SOBRAL";"2022-05-14";"19";"0";"142";"0";"0";"46";"1"
